taxAssessedValue,isUnmappable,datePriceChanged,longitude,bedrooms,providerListingID,listing_sub_type,isPremierBuilder,lotAreaValue,priceChange,latitude,zpid,price,priceForHDP,rentZestimate,newConstructionType,isPreforeclosureAuction,daysOnZillow,dateSold,shouldHighlight,isNonOwnerOccupied,imgSrc,isZillowOwned,homeType,homeStatus,state,streetAddress,zipcode,homeStatusForHDP,livingArea,isFeatured,country,unit,lotAreaUnit,zestimate,city,videoCount,isShowcaseListing,bathrooms,isRentalWithBasePrice,currency
1303000.0,False,,-122.28529,4.0,,{},False,5815.26,,47.67776,48658938,1437000.0,1437000.0,5400,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/c55f2048705fdb51fbc60728d67dcb5a-p_e.jpg,False,SINGLE_FAMILY,RECENTLY_SOLD,WA,6803 40th Avenue NE,98115,RECENTLY_SOLD,2930.0,False,USA,,sqft,1430100,Seattle,,False,4.0,,USD
360000.0,False,,-122.34862,1.0,,{},False,,,47.615433,48662265,450000.0,450000.0,2225,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/b4da32855ce7f3e86c69114c7a20d932-p_e.jpg,False,CONDO,RECENTLY_SOLD,WA,121 Vine Street UNIT 1104,98121,RECENTLY_SOLD,675.0,False,USA,Unit 1104,,422500,Seattle,,False,1.0,,USD
830000.0,False,,-122.38101,3.0,,{},False,5749.92,,47.56719,48697529,1001000.0,1001000.0,4134,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/3dbe00df7f8c392c6a05ca4313115135-p_e.jpg,False,SINGLE_FAMILY,RECENTLY_SOLD,WA,4042 39th Avenue SW,98116,RECENTLY_SOLD,2250.0,False,USA,,sqft,882800,Seattle,,False,2.0,,USD
4045000.0,False,,-122.406654,4.0,,{},False,9722.592,,47.643513,48702935,4760000.0,4760000.0,9126,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/96b2162e5990ce4962173a803c7b70ea-p_e.jpg,False,SINGLE_FAMILY,RECENTLY_SOLD,WA,2608 39th Avenue W,98199,RECENTLY_SOLD,5760.0,False,USA,,sqft,5783300,Seattle,,False,4.0,,USD
2070000.0,False,,-122.39363,4.0,,{},False,5000.688,,47.632793,48774202,2500000.0,2500000.0,6340,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/3abc4d5ac7f8222e1c983a492bbde7c3-p_e.jpg,False,SINGLE_FAMILY,RECENTLY_SOLD,WA,2809 W Eaton Street,98199,RECENTLY_SOLD,4400.0,False,USA,,sqft,2466600,Seattle,,False,5.0,,USD
633000.0,False,,-122.38557,3.0,,{},False,5292.54,,47.530212,48840880,530000.0,530000.0,3994,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/cd41d791236fc92e6b0b0c73847a3c9a-p_e.jpg,False,SINGLE_FAMILY,RECENTLY_SOLD,WA,4118 SW Southern Street,98136,RECENTLY_SOLD,2769.0,False,USA,,sqft,602800,Seattle,,False,2.0,,USD
673000.0,False,,-122.35251,2.0,,{},False,6769.224,,47.51969,48859061,580000.0,580000.0,3170,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/8f7d2aef7c43a3fd8a649464b009c496-p_e.jpg,False,SINGLE_FAMILY,RECENTLY_SOLD,WA,9244 14th Avenue SW,98106,RECENTLY_SOLD,2020.0,False,USA,,sqft,589500,Seattle,,False,2.0,,USD
599000.0,False,,-122.26208,4.0,,{},False,9374.112,,47.498634,48866968,660000.0,660000.0,3230,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/0f7e5d8102f8d7f267bb909102eb9206-p_e.jpg,False,SINGLE_FAMILY,RECENTLY_SOLD,WA,11714 Luther Avenue S,98178,RECENTLY_SOLD,2220.0,False,USA,,sqft,745200,Seattle,,False,2.0,,USD
1747000.0,False,,-122.33592,6.0,,{},False,6838.92,,47.653316,48919764,1770000.0,1770000.0,1994,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/2285c03522d6cc17d52d5b921d8ba455-p_e.jpg,False,MULTI_FAMILY,RECENTLY_SOLD,WA,1802 N 38th Street,98103,RECENTLY_SOLD,3448.0,False,USA,,sqft,1768000,Seattle,,False,3.0,,USD
831000.0,False,,-122.32706,2.0,,{},False,1001.88,,47.655437,48927950,768500.0,768500.0,3499,,False,-1,1693551600000,False,True,https://photos.zillowstatic.com/fp/5094912620179b6a6dbe3c2d2fd2082a-p_e.jpg,False,TOWNHOUSE,RECENTLY_SOLD,WA,3943 2nd Avenue NE,98105,RECENTLY_SOLD,1087.0,False,USA,,sqft,785200,Seattle,,False,2.0,,USD
